step,mean_reward,reward_std,mean_benchmark_score,exact_json_rate,mean_safety_reward,grad_norm
1,-8.942,5.317,0.0375,0.75,-6.879,7.25
2,-2.919,4.938,0.13,0.5,-1.706,7.969
3,-0.26,2.771,0.1525,0.75,-0.4975,7.938
4,-7.544,4.323,0.01,0.5,-3.244,6.156
5,-13.98,8.389,0.01,0.75,-10.68,7.625
6,-1.01,2.507,0.165,0.5,-0.4975,6.656
7,-3.912,4.598,0.07,0.75,-2.5,7.75
8,-3.8,0.0,0.01,1.0,-1.5,0.0
9,-4.644,0.9743,0.155,0.5,-3.244,5.594
10,-5.231,6.459,0.07,0.75,-3.131,7.625
11,-4.113,0.625,0.01,0.75,-1.5,5.156
12,-0.0844,8.286,0.255,0.75,-2.372,6.219
13,-4.113,0.625,0.01,0.75,-1.5,5.812
14,-3.162,2.189,0.0575,0.75,-1.5,6.281
15,-5.4,3.2,0.01,0.75,-2.787,7.25
16,-10.49,7.211,0.01,0.5,-6.879,7.25
17,3.306,15.06,0.255,0.75,1.019,6.188
18,-2.612,2.375,0.0575,0.75,-0.95,5.875
